Data from https://lasp.colorado.edu/lisird/data/cls_radio_flux_f107/
time (yyyy-MM-dd'T'HH:mm:ss.SSS),adjusted_f107 (solar flux unit (SFU)),adjusted_f107_c (solar flux unit (SFU)),adjusted_f107_p (solar flux unit (SFU)),adjusted_f107_f
2000-06-17T00:00:00.000,199.4,199.4,8.0,0
2000-06-18T00:00:00.000,193.7,193.7,8.0,0
2000-06-19T00:00:00.000,184.2,184.2,8.0,0
2000-06-20T00:00:00.000,189.7,189.7,8.0,0
2000-06-21T00:00:00.000,194.2,194.2,8.1,0
2000-06-22T00:00:00.000,185.6,185.6,8.1,0
2000-06-23T00:00:00.000,181.0,181.0,8.1,0
2000-06-24T00:00:00.000,173.9,173.9,8.0,0
2000-06-25T00:00:00.000,180.9,180.9,8.0,0
2000-06-26T00:00:00.000,183.4,183.4,8.0,0
2000-06-27T00:00:00.000,184.6,184.6,8.0,0
2000-06-28T00:00:00.000,181.2,181.2,8.0,0
2000-06-29T00:00:00.000,168.8,168.8,8.0,0
2000-06-30T00:00:00.000,165.0,165.0,8.0,0
2000-07-01T00:00:00.000,169.2,169.2,8.0,0
2000-07-02T00:00:00.000,167.9,167.9,8.0,0
2000-07-03T00:00:00.000,161.5,161.5,8.0,0
2000-07-04T00:00:00.000,163.7,163.7,8.0,0
2000-07-05T00:00:00.000,174.4,174.4,8.0,0
2000-07-06T00:00:00.000,180.1,180.1,8.0,0
2000-07-07T00:00:00.000,193.5,193.5,8.0,0
2000-07-08T00:00:00.000,217.1,217.1,8.0,0
2000-07-09T00:00:00.000,218.4,218.4,8.0,0
2000-07-10T00:00:00.000,252.7,252.7,8.1,0
2000-07-11T00:00:00.000,249.7,249.7,8.1,0
2000-07-12T00:00:00.000,244.0,244.0,8.1,2
2000-07-13T00:00:00.000,239.6,239.6,8.2,0
2000-07-14T00:00:00.000,210.6,210.6,8.2,0
2000-07-15T00:00:00.000,220.1,220.1,8.2,0
2000-07-16T00:00:00.000,226.1,226.1,8.2,0
2000-07-17T00:00:00.000,235.8,235.8,8.3,0
2000-07-18T00:00:00.000,270.5,235.3,35.1,4
2000-07-19T00:00:00.000,258.0,258.0,8.4,0
